"Sites","TaxCode","Abundance","TaxonName","Taxon","Anemo","Auto","Entomo","Annual","Biennial","Perennial","Seasonnal","LFP","MinHeight","MaxHeight","BFP","Succu_ORDINAL","Spiki_ORDINAL","Hairy_ORDINAL","Clay","Silt","Sand","K2O","Mg","Na100g","K","Elev","X","Y"
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
"1","sp1",0,"Arisarum vulgare","Arvu",0,0,1,0,0,1,0,1.79175946922805,-2.30258509299405,-0.916290731874155,1.5,0,0,0,0.73,0.24,0.03,1.3,9.2,4.2,1.2,6,365.8,181.2
